StageHistoryID,OpportunityID,StageNo,Stage,EnteredOn,ExitedOn,DaysInStage
STH-0043966,OPP-010550,3,3-Quotation,2024-07-22 16:41:08,2024-07-25 04:06:37,2.48
STH-0043967,OPP-010550,4,4-Negotiation,2024-07-25 04:06:37,2024-08-05 20:32:04,11.68
STH-0043968,OPP-010550,5,5-Booking / PO,2024-08-05 20:32:04,2024-09-28 10:13:22,53.57
STH-0043969,OPP-010550,6,6-Closed Won,2024-09-28 10:13:22,,
STH-0043970,OPP-010551,1,1-Enquiry,2024-07-15 22:16:25,2024-07-17 01:08:17,1.12
STH-0043971,OPP-010551,2,2-Test Drive / Demo,2024-07-17 01:08:17,2024-07-19 00:09:57,1.96
STH-0043972,OPP-010551,3,3-Quotation,2024-07-19 00:09:57,2024-07-22 16:27:02,3.68
STH-0043973,OPP-010551,7,7-Closed Lost,2024-07-22 16:27:02,,
STH-0043974,OPP-010552,1,1-Enquiry,2024-07-12 00:33:04,2024-07-14 13:15:36,2.53
STH-0043975,OPP-010552,2,2-Test Drive / Demo,2024-07-14 13:15:36,2024-07-16 11:30:47,1.93
STH-0043976,OPP-010552,7,7-Closed Lost,2024-07-16 11:30:47,,
STH-0043977,OPP-010553,1,1-Enquiry,2024-07-15 04:33:09,2024-07-15 15:42:44,0.46
STH-0043978,OPP-010553,2,2-Test Drive / Demo,2024-07-15 15:42:44,2024-07-20 08:13:38,4.69
STH-0043979,OPP-010553,3,3-Quotation,2024-07-20 08:13:38,2024-07-25 14:02:11,5.24
STH-0043980,OPP-010553,7,7-Closed Lost,2024-07-25 14:02:11,,
STH-0043981,OPP-010554,1,1-Enquiry,2024-07-12 04:24:44,2024-07-12 17:00:09,0.52
STH-0043982,OPP-010554,2,2-Test Drive / Demo,2024-07-12 17:00:09,2024-07-14 00:48:08,1.32
STH-0043983,OPP-010554,3,3-Quotation,2024-07-14 00:48:08,2024-07-15 12:31:53,1.49
STH-0043984,OPP-010554,4,4-Negotiation,2024-07-15 12:31:53,2024-07-18 07:15:05,2.78
STH-0043985,OPP-010554,5,5-Booking / PO,2024-07-18 07:15:05,2024-08-04 16:54:30,17.4
STH-0043986,OPP-010554,6,6-Closed Won,2024-08-04 16:54:30,,
STH-0043987,OPP-010555,1,1-Enquiry,2024-07-11 19:13:07,2024-07-16 03:01:04,4.32
STH-0043988,OPP-010555,2,2-Test Drive / Demo,2024-07-16 03:01:04,2024-07-18 18:29:42,2.64
STH-0043989,OPP-010555,7,7-Closed Lost,2024-07-18 18:29:42,,
STH-0043990,OPP-010556,1,1-Enquiry,2024-07-11 21:09:29,2024-07-15 06:34:29,3.39
STH-0043991,OPP-010556,7,7-Closed Lost,2024-07-15 06:34:29,,
STH-0043992,OPP-010557,1,1-Enquiry,2024-07-16 21:00:22,2024-07-20 01:13:42,3.18
STH-0043993,OPP-010557,2,2-Test Drive / Demo,2024-07-20 01:13:42,2024-07-21 11:52:19,1.44
STH-0043994,OPP-010557,3,3-Quotation,2024-07-21 11:52:19,2024-07-25 11:14:21,3.97
STH-0043995,OPP-010557,4,4-Negotiation,2024-07-25 11:14:21,2024-07-31 04:54:04,5.74
STH-0043996,OPP-010557,5,5-Booking / PO,2024-07-31 04:54:04,2024-08-10 13:28:55,10.36
STH-0043997,OPP-010557,6,6-Closed Won,2024-08-10 13:28:55,,
STH-0043998,OPP-010558,1,1-Enquiry,2024-07-13 14:31:55,2024-07-18 07:45:07,4.72
STH-0043999,OPP-010558,2,2-Test Drive / Demo,2024-07-18 07:45:07,2024-07-21 22:06:02,3.6
STH-0044000,OPP-010558,3,3-Quotation,2024-07-21 22:06:02,2024-07-26 03:33:10,4.23
STH-0044001,OPP-010558,4,4-Negotiation,2024-07-26 03:33:10,2024-07-30 20:24:22,4.7
STH-0044002,OPP-010558,5,5-Booking / PO,2024-07-30 20:24:22,2024-08-09 00:55:50,9.19
STH-0044003,OPP-010558,6,6-Closed Won,2024-08-09 00:55:50,,
STH-0044004,OPP-010559,1,1-Enquiry,2024-07-11 20:32:50,,
STH-0044005,OPP-010560,1,1-Enquiry,2024-07-14 14:47:14,2024-07-18 10:06:17,3.8
STH-0044006,OPP-010560,2,2-Test Drive / Demo,2024-07-18 10:06:17,2024-07-28 22:49:16,10.53
STH-0044007,OPP-010560,3,3-Quotation,2024-07-28 22:49:16,2024-07-31 15:05:51,2.68
STH-0044008,OPP-010560,4,4-Negotiation,2024-07-31 15:05:51,2024-08-05 04:46:30,4.57
STH-0044009,OPP-010560,5,5-Booking / PO,2024-08-05 04:46:30,2024-08-13 00:20:50,7.82
STH-0044010,OPP-010560,6,6-Closed Won,2024-08-13 00:20:50,,
STH-0044011,OPP-010561,1,1-Enquiry,2024-07-17 06:48:56,2024-07-20 13:09:40,3.26
STH-0044012,OPP-010561,7,7-Closed Lost,2024-07-20 13:09:40,,
STH-0044013,OPP-010562,1,1-Enquiry,2024-07-16 02:56:52,2024-07-17 01:02:50,0.92
STH-0044014,OPP-010562,2,2-Test Drive / Demo,2024-07-17 01:02:50,2024-07-20 23:46:47,3.95
STH-0044015,OPP-010562,3,3-Quotation,2024-07-20 23:46:47,,
STH-0044016,OPP-010563,1,1-Enquiry,2024-07-28 20:56:39,2024-08-06 04:11:46,8.3
STH-0044017,OPP-010563,7,7-Closed Lost,2024-08-06 04:11:46,,
STH-0044018,OPP-010564,1,1-Enquiry,2024-07-13 00:48:03,,
STH-0044019,OPP-010565,1,1-Enquiry,2024-07-24 20:35:43,2024-08-02 23:38:43,9.13
STH-0044020,OPP-010565,2,2-Test Drive / Demo,2024-08-02 23:38:43,2024-08-24 22:49:10,21.97
STH-0044021,OPP-010565,7,7-Closed Lost,2024-08-24 22:49:10,,
STH-0044022,OPP-010566,1,1-Enquiry,2024-07-16 00:34:54,2024-07-17 00:21:02,0.99
STH-0044023,OPP-010566,2,2-Test Drive / Demo,2024-07-17 00:21:02,2024-07-22 10:07:38,5.41
STH-0044024,OPP-010566,3,3-Quotation,2024-07-22 10:07:38,2024-08-06 14:04:32,15.16
STH-0044025,OPP-010566,4,4-Negotiation,2024-08-06 14:04:32,2024-08-08 02:01:47,1.5
STH-0044026,OPP-010566,5,5-Booking / PO,2024-08-08 02:01:47,2024-08-13 06:37:12,5.19
STH-0044027,OPP-010566,6,6-Closed Won,2024-08-13 06:37:12,,
STH-0044028,OPP-010567,1,1-Enquiry,2024-07-13 18:24:39,2024-07-21 02:55:44,7.35
STH-0044029,OPP-010567,2,2-Test Drive / Demo,2024-07-21 02:55:44,2024-07-24 18:03:20,3.63
STH-0044030,OPP-010567,3,3-Quotation,2024-07-24 18:03:20,2024-07-28 04:53:11,3.45
STH-0044031,OPP-010567,4,4-Negotiation,2024-07-28 04:53:11,2024-08-03 11:55:24,6.29
STH-0044032,OPP-010567,5,5-Booking / PO,2024-08-03 11:55:24,2024-09-13 10:05:53,40.92
STH-0044033,OPP-010567,6,6-Closed Won,2024-09-13 10:05:53,,
STH-0044034,OPP-010568,1,1-Enquiry,2024-07-16 11:09:12,2024-07-18 19:19:26,2.34
STH-0044035,OPP-010568,2,2-Test Drive / Demo,2024-07-18 19:19:26,2024-07-20 04:47:55,1.39
STH-0044036,OPP-010568,3,3-Quotation,2024-07-20 04:47:55,2024-07-21 05:33:12,1.03
STH-0044037,OPP-010568,7,7-Closed Lost,2024-07-21 05:33:12,,
STH-0044038,OPP-010569,1,1-Enquiry,2024-07-15 07:02:31,2024-07-17 23:44:07,2.7
STH-0044039,OPP-010569,7,7-Closed Lost,2024-07-17 23:44:07,,
STH-0044040,OPP-010570,1,1-Enquiry,2024-07-23 05:17:51,2024-07-31 21:58:26,8.69
STH-0044041,OPP-010570,7,7-Closed Lost,2024-07-31 21:58:26,,
STH-0044042,OPP-010571,1,1-Enquiry,2024-07-17 20:30:35,2024-07-19 04:25:48,1.33
STH-0044043,OPP-010571,2,2-Test Drive / Demo,2024-07-19 04:25:48,2024-07-19 22:04:03,0.73
STH-0044044,OPP-010571,3,3-Quotation,2024-07-19 22:04:03,2024-07-22 06:40:42,2.36
STH-0044045,OPP-010571,7,7-Closed Lost,2024-07-22 06:40:42,,
STH-0044046,OPP-010572,1,1-Enquiry,2024-07-17 18:02:37,2024-07-19 05:01:39,1.46
STH-0044047,OPP-010572,2,2-Test Drive / Demo,2024-07-19 05:01:39,2024-07-19 12:12:41,0.3
STH-0044048,OPP-010572,3,3-Quotation,2024-07-19 12:12:41,2024-07-22 22:14:41,3.42
STH-0044049,OPP-010572,4,4-Negotiation,2024-07-22 22:14:41,2024-07-26 00:17:36,3.09
STH-0044050,OPP-010572,7,7-Closed Lost,2024-07-26 00:17:36,,
STH-0044051,OPP-010573,1,1-Enquiry,2024-07-18 05:11:10,2024-07-23 01:23:32,4.84
STH-0044052,OPP-010573,2,2-Test Drive / Demo,2024-07-23 01:23:32,2024-07-26 11:25:31,3.42
STH-0044053,OPP-010573,3,3-Quotation,2024-07-26 11:25:31,2024-08-03 19:30:18,8.34
STH-0044054,OPP-010573,4,4-Negotiation,2024-08-03 19:30:18,2024-08-07 14:46:36,3.8
STH-0044055,OPP-010573,5,5-Booking / PO,2024-08-07 14:46:36,2024-08-09 15:48:47,2.04
STH-0044056,OPP-010573,6,6-Closed Won,2024-08-09 15:48:47,,
STH-0044057,OPP-010574,1,1-Enquiry,2024-07-17 09:31:26,2024-07-20 06:06:30,2.86
STH-0044058,OPP-010574,7,7-Closed Lost,2024-07-20 06:06:30,,
STH-0044059,OPP-010575,1,1-Enquiry,2024-07-15 00:27:05,2024-07-18 20:30:40,3.84
STH-0044060,OPP-010575,2,2-Test Drive / Demo,2024-07-18 20:30:40,2024-07-21 13:30:50,2.71
STH-0044061,OPP-010575,3,3-Quotation,2024-07-21 13:30:50,2024-07-22 14:19:13,1.03
STH-0044062,OPP-010575,4,4-Negotiation,2024-07-22 14:19:13,2024-07-28 08:18:37,5.75
STH-0044063,OPP-010575,5,5-Booking / PO,2024-07-28 08:18:37,2024-09-07 06:56:48,40.94
STH-0044064,OPP-010575,6,6-Closed Won,2024-09-07 06:56:48,,
STH-0044065,OPP-010576,1,1-Enquiry,2024-07-13 14:45:23,2024-07-17 00:50:41,3.42
STH-0044066,OPP-010576,2,2-Test Drive / Demo,2024-07-17 00:50:41,2024-07-17 12:28:52,0.48
STH-0044067,OPP-010576,7,7-Closed Lost,2024-07-17 12:28:52,,
STH-0044068,OPP-010577,1,1-Enquiry,2024-07-13 18:31:33,2024-07-17 11:31:15,3.71
STH-0044069,OPP-010577,2,2-Test Drive / Demo,2024-07-17 11:31:15,2024-07-19 00:57:47,1.56
STH-0044070,OPP-010577,3,3-Quotation,2024-07-19 00:57:47,2024-07-24 11:21:22,5.43
STH-0044071,OPP-010577,4,4-Negotiation,2024-07-24 11:21:22,2024-07-30 23:11:01,6.49
STH-0044072,OPP-010577,5,5-Booking / PO,2024-07-30 23:11:01,2024-08-03 19:24:05,3.84
STH-0044073,OPP-010577,7,7-Closed Lost,2024-08-03 19:24:05,,
STH-0044074,OPP-010578,1,1-Enquiry,2024-07-18 10:22:47,2024-07-19 20:25:30,1.42
STH-0044075,OPP-010578,2,2-Test Drive / Demo,2024-07-19 20:25:30,2024-07-20 23:18:51,1.12
STH-0044076,OPP-010578,7,7-Closed Lost,2024-07-20 23:18:51,,
STH-0044077,OPP-010579,1,1-Enquiry,2024-07-12 17:48:02,2024-07-14 01:57:31,1.34
STH-0044078,OPP-010579,2,2-Test Drive / Demo,2024-07-14 01:57:31,2024-07-17 08:01:47,3.25
STH-0044079,OPP-010579,3,3-Quotation,2024-07-17 08:01:47,2024-07-22 00:55:23,4.7
STH-0044080,OPP-010579,7,7-Closed Lost,2024-07-22 00:55:23,,
STH-0044081,OPP-010580,1,1-Enquiry,2024-07-12 19:37:53,2024-07-15 20:13:10,3.02
STH-0044082,OPP-010580,2,2-Test Drive / Demo,2024-07-15 20:13:10,2024-07-22 01:15:09,6.21
STH-0044083,OPP-010580,3,3-Quotation,2024-07-22 01:15:09,2024-07-28 02:27:40,6.05
STH-0044084,OPP-010580,4,4-Negotiation,2024-07-28 02:27:40,,
STH-0044085,OPP-010581,1,1-Enquiry,2024-07-15 00:33:20,2024-07-22 00:49:48,7.01
STH-0044086,OPP-010581,2,2-Test Drive / Demo,2024-07-22 00:49:48,2024-07-27 13:22:17,5.52
STH-0044087,OPP-010581,7,7-Closed Lost,2024-07-27 13:22:17,,
STH-0044088,OPP-010582,1,1-Enquiry,2024-07-16 04:12:16,2024-07-20 05:24:48,4.05
STH-0044089,OPP-010582,2,2-Test Drive / Demo,2024-07-20 05:24:48,2024-07-22 09:42:53,2.18
STH-0044090,OPP-010582,7,7-Closed Lost,2024-07-22 09:42:53,,
STH-0044091,OPP-010583,1,1-Enquiry,2024-07-14 05:54:04,2024-07-14 15:23:03,0.4
STH-0044092,OPP-010583,7,7-Closed Lost,2024-07-14 15:23:03,,
STH-0044093,OPP-010584,1,1-Enquiry,2024-08-02 18:52:09,2024-08-20 05:25:33,17.44
STH-0044094,OPP-010584,2,2-Test Drive / Demo,2024-08-20 05:25:33,2024-09-05 20:16:00,16.62
STH-0044095,OPP-010584,3,3-Quotation,2024-09-05 20:16:00,2024-10-04 03:10:00,28.29
STH-0044096,OPP-010584,7,7-Closed Lost,2024-10-04 03:10:00,,
STH-0044097,OPP-010585,1,1-Enquiry,2024-07-15 23:50:17,2024-07-18 14:18:22,2.6
STH-0044098,OPP-010585,7,7-Closed Lost,2024-07-18 14:18:22,,
STH-0044099,OPP-010586,1,1-Enquiry,2024-07-14 10:23:25,2024-07-19 10:18:58,5.0
STH-0044100,OPP-010586,2,2-Test Drive / Demo,2024-07-19 10:18:58,2024-07-21 04:35:29,1.76
STH-0044101,OPP-010586,7,7-Closed Lost,2024-07-21 04:35:29,,
STH-0044102,OPP-010587,1,1-Enquiry,2024-07-16 13:43:21,2024-07-18 02:46:41,1.54
STH-0044103,OPP-010587,7,7-Closed Lost,2024-07-18 02:46:41,,
STH-0044104,OPP-010588,1,1-Enquiry,2024-07-18 08:25:00,2024-07-19 05:18:27,0.87
STH-0044105,OPP-010588,7,7-Closed Lost,2024-07-19 05:18:27,,
STH-0044106,OPP-010589,1,1-Enquiry,2024-07-20 20:43:14,2024-07-22 10:56:46,1.59
STH-0044107,OPP-010589,2,2-Test Drive / Demo,2024-07-22 10:56:46,2024-07-29 08:42:28,6.91
STH-0044108,OPP-010589,7,7-Closed Lost,2024-07-29 08:42:28,,
STH-0044109,OPP-010590,1,1-Enquiry,2024-07-19 07:05:21,2024-07-20 14:41:58,1.32
STH-0044110,OPP-010590,2,2-Test Drive / Demo,2024-07-20 14:41:58,2024-07-22 15:19:20,2.03
STH-0044111,OPP-010590,3,3-Quotation,2024-07-22 15:19:20,2024-07-24 11:11:12,1.83
STH-0044112,OPP-010590,4,4-Negotiation,2024-07-24 11:11:12,2024-07-26 11:31:06,2.01
STH-0044113,OPP-010590,5,5-Booking / PO,2024-07-26 11:31:06,2024-08-07 23:35:33,12.5
STH-0044114,OPP-010590,6,6-Closed Won,2024-08-07 23:35:33,,
STH-0044115,OPP-010591,1,1-Enquiry,2024-07-14 11:25:05,2024-07-16 15:57:18,2.19
STH-0044116,OPP-010591,2,2-Test Drive / Demo,2024-07-16 15:57:18,2024-07-16 18:15:45,0.1
STH-0044117,OPP-010591,3,3-Quotation,2024-07-16 18:15:45,2024-07-19 02:24:02,2.34
STH-0044118,OPP-010591,4,4-Negotiation,2024-07-19 02:24:02,2024-07-19 04:26:02,0.08
STH-0044119,OPP-010591,7,7-Closed Lost,2024-07-19 04:26:02,,
STH-0044120,OPP-010592,1,1-Enquiry,2024-07-14 23:30:41,2024-07-19 17:41:47,4.76
STH-0044121,OPP-010592,7,7-Closed Lost,2024-07-19 17:41:47,,
STH-0044122,OPP-010593,1,1-Enquiry,2024-07-18 09:50:29,2024-07-22 18:12:44,4.35
STH-0044123,OPP-010593,2,2-Test Drive / Demo,2024-07-22 18:12:44,2024-08-02 03:32:04,10.39
STH-0044124,OPP-010593,3,3-Quotation,2024-08-02 03:32:04,2024-08-22 12:31:48,20.37
STH-0044125,OPP-010593,4,4-Negotiation,2024-08-22 12:31:48,2024-09-02 01:19:39,10.53
STH-0044126,OPP-010593,5,5-Booking / PO,2024-09-02 01:19:39,2024-09-14 03:50:40,12.1
STH-0044127,OPP-010593,6,6-Closed Won,2024-09-14 03:50:40,,
STH-0044128,OPP-010594,1,1-Enquiry,2024-07-16 21:20:44,2024-07-18 05:58:02,1.36
STH-0044129,OPP-010594,2,2-Test Drive / Demo,2024-07-18 05:58:02,2024-07-19 22:18:17,1.68
STH-0044130,OPP-010594,3,3-Quotation,2024-07-19 22:18:17,2024-07-22 05:15:09,2.29
STH-0044131,OPP-010594,4,4-Negotiation,2024-07-22 05:15:09,2024-08-02 01:50:06,10.86
STH-0044132,OPP-010594,5,5-Booking / PO,2024-08-02 01:50:06,2024-08-15 14:27:17,13.53
STH-0044133,OPP-010594,6,6-Closed Won,2024-08-15 14:27:17,,
STH-0044134,OPP-010595,1,1-Enquiry,2024-07-15 16:22:10,2024-07-19 01:45:54,3.39
STH-0044135,OPP-010595,2,2-Test Drive / Demo,2024-07-19 01:45:54,2024-07-20 21:58:37,1.84
STH-0044136,OPP-010595,3,3-Quotation,2024-07-20 21:58:37,2024-07-27 15:17:58,6.72
STH-0044137,OPP-010595,7,7-Closed Lost,2024-07-27 15:17:58,,
STH-0044138,OPP-010596,1,1-Enquiry,2024-07-15 17:38:05,2024-07-16 23:05:15,1.23
STH-0044139,OPP-010596,2,2-Test Drive / Demo,2024-07-16 23:05:15,2024-07-18 06:25:23,1.31
STH-0044140,OPP-010596,3,3-Quotation,2024-07-18 06:25:23,2024-07-22 01:32:54,3.8
STH-0044141,OPP-010596,4,4-Negotiation,2024-07-22 01:32:54,2024-07-28 01:55:28,6.02
STH-0044142,OPP-010596,5,5-Booking / PO,2024-07-28 01:55:28,2024-11-20 11:44:25,115.41
STH-0044143,OPP-010596,6,6-Closed Won,2024-11-20 11:44:25,,
STH-0044144,OPP-010597,1,1-Enquiry,2024-07-14 07:11:01,2024-07-16 11:01:49,2.16
STH-0044145,OPP-010597,2,2-Test Drive / Demo,2024-07-16 11:01:49,2024-07-17 22:00:25,1.46
STH-0044146,OPP-010597,3,3-Quotation,2024-07-17 22:00:25,2024-08-04 02:53:41,17.2
STH-0044147,OPP-010597,4,4-Negotiation,2024-08-04 02:53:41,2024-08-04 09:39:10,0.28
STH-0044148,OPP-010597,7,7-Closed Lost,2024-08-04 09:39:10,,
STH-0044149,OPP-010598,1,1-Enquiry,2024-07-13 13:10:02,2024-07-14 02:43:19,0.56
STH-0044150,OPP-010598,2,2-Test Drive / Demo,2024-07-14 02:43:19,2024-07-20 02:46:28,6.0
STH-0044151,OPP-010598,3,3-Quotation,2024-07-20 02:46:28,2024-07-22 11:51:56,2.38
STH-0044152,OPP-010598,4,4-Negotiation,2024-07-22 11:51:56,2024-07-26 17:18:48,4.23
STH-0044153,OPP-010598,7,7-Closed Lost,2024-07-26 17:18:48,,
STH-0044154,OPP-010599,1,1-Enquiry,2024-07-19 02:00:31,2024-07-20 19:29:50,1.73
STH-0044155,OPP-010599,2,2-Test Drive / Demo,2024-07-20 19:29:50,2024-07-23 21:29:37,3.08
STH-0044156,OPP-010599,3,3-Quotation,2024-07-23 21:29:37,2024-07-27 06:59:14,3.4
STH-0044157,OPP-010599,4,4-Negotiation,2024-07-27 06:59:14,2024-07-29 06:21:44,1.97
STH-0044158,OPP-010599,5,5-Booking / PO,2024-07-29 06:21:44,2024-08-04 08:41:05,6.1
STH-0044159,OPP-010599,6,6-Closed Won,2024-08-04 08:41:05,,
STH-0044160,OPP-010600,1,1-Enquiry,2024-07-13 17:44:09,2024-07-15 04:10:42,1.44
STH-0044161,OPP-010600,7,7-Closed Lost,2024-07-15 04:10:42,,
STH-0044162,OPP-010601,1,1-Enquiry,2024-07-18 00:18:29,2024-07-19 18:54:27,1.77
STH-0044163,OPP-010601,2,2-Test Drive / Demo,2024-07-19 18:54:27,2024-07-22 13:05:23,2.76
STH-0044164,OPP-010601,3,3-Quotation,2024-07-22 13:05:23,2024-07-26 22:38:38,4.4
STH-0044165,OPP-010601,4,4-Negotiation,2024-07-26 22:38:38,2024-08-11 10:08:15,15.48
STH-0044166,OPP-010601,7,7-Closed Lost,2024-08-11 10:08:15,,
STH-0044167,OPP-010602,1,1-Enquiry,2024-07-18 19:57:46,2024-07-19 18:54:50,0.96
STH-0044168,OPP-010602,2,2-Test Drive / Demo,2024-07-19 18:54:50,2024-07-21 13:48:59,1.79
STH-0044169,OPP-010602,7,7-Closed Lost,2024-07-21 13:48:59,,
STH-0044170,OPP-010603,1,1-Enquiry,2024-07-13 12:46:02,2024-07-17 17:35:24,4.2
STH-0044171,OPP-010603,2,2-Test Drive / Demo,2024-07-17 17:35:24,2024-07-22 14:53:45,4.89
STH-0044172,OPP-010603,3,3-Quotation,2024-07-22 14:53:45,2024-07-25 05:49:29,2.62
STH-0044173,OPP-010603,4,4-Negotiation,2024-07-25 05:49:29,2024-07-26 11:53:52,1.25
STH-0044174,OPP-010603,5,5-Booking / PO,2024-07-26 11:53:52,2024-08-25 04:12:19,29.68
STH-0044175,OPP-010603,6,6-Closed Won,2024-08-25 04:12:19,,
STH-0044176,OPP-010604,1,1-Enquiry,2024-07-16 01:08:06,2024-07-17 20:58:51,1.83
STH-0044177,OPP-010604,2,2-Test Drive / Demo,2024-07-17 20:58:51,2024-07-18 21:38:28,1.03
STH-0044178,OPP-010604,3,3-Quotation,2024-07-18 21:38:28,2024-07-22 17:17:16,3.82
STH-0044179,OPP-010604,4,4-Negotiation,2024-07-22 17:17:16,2024-08-08 02:47:19,16.4
STH-0044180,OPP-010604,7,7-Closed Lost,2024-08-08 02:47:19,,
STH-0044181,OPP-010605,1,1-Enquiry,2024-07-13 14:26:54,2024-07-15 10:56:08,1.85
STH-0044182,OPP-010605,2,2-Test Drive / Demo,2024-07-15 10:56:08,2024-07-17 00:59:59,1.59
STH-0044183,OPP-010605,3,3-Quotation,2024-07-17 00:59:59,2024-07-18 21:47:08,1.87
STH-0044184,OPP-010605,4,4-Negotiation,2024-07-18 21:47:08,2024-07-28 17:47:08,9.83
STH-0044185,OPP-010605,5,5-Booking / PO,2024-07-28 17:47:08,2024-09-17 00:11:24,50.27
STH-0044186,OPP-010605,6,6-Closed Won,2024-09-17 00:11:24,,
STH-0044187,OPP-010606,1,1-Enquiry,2024-07-13 22:56:45,2024-07-14 19:54:38,0.87
STH-0044188,OPP-010606,2,2-Test Drive / Demo,2024-07-14 19:54:38,2024-07-16 17:03:46,1.88
STH-0044189,OPP-010606,7,7-Closed Lost,2024-07-16 17:03:46,,
STH-0044190,OPP-010607,1,1-Enquiry,2024-07-16 02:49:18,2024-07-19 07:58:26,3.21
STH-0044191,OPP-010607,2,2-Test Drive / Demo,2024-07-19 07:58:26,2024-07-24 00:36:59,4.69
STH-0044192,OPP-010607,3,3-Quotation,2024-07-24 00:36:59,2024-07-28 02:53:55,4.1
STH-0044193,OPP-010607,4,4-Negotiation,2024-07-28 02:53:55,2024-07-29 18:49:27,1.66
STH-0044194,OPP-010607,5,5-Booking / PO,2024-07-29 18:49:27,2024-08-22 16:54:33,23.92
STH-0044195,OPP-010607,6,6-Closed Won,2024-08-22 16:54:33,,
STH-0044196,OPP-010608,1,1-Enquiry,2024-07-16 08:21:03,2024-07-18 18:45:02,2.43
STH-0044197,OPP-010608,2,2-Test Drive / Demo,2024-07-18 18:45:02,2024-07-21 21:10:05,3.1
STH-0044198,OPP-010608,7,7-Closed Lost,2024-07-21 21:10:05,,
STH-0044199,OPP-010609,1,1-Enquiry,2024-07-14 01:23:51,2024-07-16 09:47:31,2.35
STH-0044200,OPP-010609,2,2-Test Drive / Demo,2024-07-16 09:47:31,2024-07-22 15:03:55,6.22
STH-0044201,OPP-010609,7,7-Closed Lost,2024-07-22 15:03:55,,
STH-0044202,OPP-010610,1,1-Enquiry,2024-07-14 09:26:01,2024-07-16 04:32:37,1.8
STH-0044203,OPP-010610,2,2-Test Drive / Demo,2024-07-16 04:32:37,2024-07-18 13:36:02,2.38
STH-0044204,OPP-010610,3,3-Quotation,2024-07-18 13:36:02,2024-07-24 02:40:36,5.54
STH-0044205,OPP-010610,4,4-Negotiation,2024-07-24 02:40:36,2024-07-29 23:52:30,5.88
STH-0044206,OPP-010610,5,5-Booking / PO,2024-07-29 23:52:30,2024-08-22 02:18:51,23.1
STH-0044207,OPP-010610,6,6-Closed Won,2024-08-22 02:18:51,,
STH-0044208,OPP-010611,1,1-Enquiry,2024-07-15 06:09:09,2024-07-17 17:52:29,2.49
STH-0044209,OPP-010611,2,2-Test Drive / Demo,2024-07-17 17:52:29,2024-07-18 10:30:23,0.69
STH-0044210,OPP-010611,3,3-Quotation,2024-07-18 10:30:23,2024-07-26 16:15:12,8.24
STH-0044211,OPP-010611,7,7-Closed Lost,2024-07-26 16:15:12,,
STH-0044212,OPP-010612,1,1-Enquiry,2024-07-17 06:34:17,2024-07-19 03:42:22,1.88
STH-0044213,OPP-010612,2,2-Test Drive / Demo,2024-07-19 03:42:22,2024-07-26 08:16:12,7.19
STH-0044214,OPP-010612,3,3-Quotation,2024-07-26 08:16:12,2024-07-30 15:35:30,4.31
STH-0044215,OPP-010612,4,4-Negotiation,2024-07-30 15:35:30,2024-08-01 16:52:20,2.05
STH-0044216,OPP-010612,5,5-Booking / PO,2024-08-01 16:52:20,2024-09-12 19:38:46,42.12
STH-0044217,OPP-010612,6,6-Closed Won,2024-09-12 19:38:46,,
STH-0044218,OPP-010613,1,1-Enquiry,2024-07-14 15:04:54,2024-07-18 17:42:18,4.11
STH-0044219,OPP-010613,2,2-Test Drive / Demo,2024-07-18 17:42:18,2024-07-22 20:14:47,4.11
STH-0044220,OPP-010613,3,3-Quotation,2024-07-22 20:14:47,2024-07-24 13:48:05,1.73
STH-0044221,OPP-010613,4,4-Negotiation,2024-07-24 13:48:05,2024-07-30 04:09:43,5.6
STH-0044222,OPP-010613,5,5-Booking / PO,2024-07-30 04:09:43,2024-08-05 20:35:56,6.68
STH-0044223,OPP-010613,6,6-Closed Won,2024-08-05 20:35:56,,
STH-0044224,OPP-010614,1,1-Enquiry,2024-07-17 06:16:13,2024-07-21 13:20:56,4.29
STH-0044225,OPP-010614,2,2-Test Drive / Demo,2024-07-21 13:20:56,2024-08-06 13:15:32,16.0
STH-0044226,OPP-010614,3,3-Quotation,2024-08-06 13:15:32,2024-09-01 12:48:37,25.98
STH-0044227,OPP-010614,4,4-Negotiation,2024-09-01 12:48:37,2024-10-20 22:20:45,49.4
STH-0044228,OPP-010614,7,7-Closed Lost,2024-10-20 22:20:45,,
STH-0044229,OPP-010615,1,1-Enquiry,2024-07-14 13:53:00,2024-07-17 02:34:30,2.53
STH-0044230,OPP-010615,7,7-Closed Lost,2024-07-17 02:34:30,,
STH-0044231,OPP-010616,1,1-Enquiry,2024-07-18 06:54:10,2024-07-22 14:58:49,4.34
STH-0044232,OPP-010616,2,2-Test Drive / Demo,2024-07-22 14:58:49,2024-07-23 07:12:55,0.68
STH-0044233,OPP-010616,3,3-Quotation,2024-07-23 07:12:55,2024-07-25 02:51:32,1.82
STH-0044234,OPP-010616,4,4-Negotiation,2024-07-25 02:51:32,2024-08-14 17:36:27,20.61
STH-0044235,OPP-010616,7,7-Closed Lost,2024-08-14 17:36:27,,
STH-0044236,OPP-010617,1,1-Enquiry,2024-07-18 11:05:38,2024-07-21 04:49:07,2.74
STH-0044237,OPP-010617,2,2-Test Drive / Demo,2024-07-21 04:49:07,2024-07-22 10:20:02,1.23
